Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,year,-9999
15,Marwan Al Haidari,sa KSA,GK,Al-Shabab,25,1996,1,1,90,1.0,2,2.00,3,2,66.7,0,0,1,0,0.0,1,1,0,0,0.0,2021,ad78b3d4
16,Iago Herrerín,es ESP,GK,Al-Raed,33,1988,13,13,1170,13.0,24,1.85,56,35,60.7,3,3,7,2,15.4,3,2,1,0,33.3,2021,9109185e
17,Mansor Joher,sa KSA,GK,Abha,26,1995,1,0,45,0.5,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,2021,2d60c725
18,Ahmed Al-Kassar,sa KSA,GK,Al-Faisaly,30,1991,16,15,1399,15.5,23,1.48,64,45,68.8,2,7,6,3,20.0,4,3,1,0,25.0,2021,eedb42fd
19,Maksym Koval,ua UKR,GK,Al-Fateh,28,1992,28,28,2509,27.9,36,1.29,82,52,59.8,9,8,11,9,32.1,8,3,5,0,62.5,2021,60713cb3
20,Martin Lukov,bg BUL,GK,Al-Ta'ee,28,1993,18,18,1585,17.6,28,1.59,74,47,63.5,6,1,11,3,16.7,1,1,0,0,0.0,2021,83cae50c
21,Raïs M'Bolhi,dz ALG,GK,Al-Ettifaq,35,1986,27,27,2430,27.0,43,1.59,116,79,68.1,8,8,11,7,25.9,6,6,0,0,0.0,2021,c121a641
22,Mohammed Al-Mahasneh,sa KSA,GK,Damac,,,5,5,450,5.0,6,1.20,20,16,80.0,2,1,2,1,20.0,2,2,0,0,0.0,2021,200b66cd
23,Mustafa Malayekah,sa KSA,GK,Al-Faisaly,35,1986,16,15,1299,14.4,14,0.97,52,39,76.9,5,5,5,7,46.7,2,2,0,0,0.0,2021,86c45703
24,Abdullah Al-Mayouf,sa KSA,GK,Al-Hilal,34,1987,29,29,2610,29.0,28,0.97,85,64,75.3,19,7,3,11,37.9,7,7,0,0,0.0,2021,c3c96222
25,Abdelali Mhamdi,ma MAR,GK,Abha,29,1991,24,24,2123,23.6,33,1.40,103,74,71.8,7,8,9,7,29.2,4,4,0,0,0.0,2021,29b3f0d1
26,Yasser Al Mosailem,sa KSA,GK,Al-Ahli,37,1984,4,3,315,3.5,5,1.43,10,5,50.0,1,1,1,2,66.7,0,0,0,0,,2021,6869a0aa
27,Rakan Najjar,sa KSA,GK,Al-Ittihad,26,1995,3,2,226,2.5,4,1.59,9,5,55.6,2,0,0,0,0.0,0,0,0,0,,2021,1102da02
28,Bader Nawaf,sa KSA,GK,Al-Ta'ee,22,1999,6,5,485,5.4,12,2.23,23,13,56.5,0,2,3,0,0.0,2,2,0,0,0.0,2021,9eb064ae
29,Mohammed Al-Owais,sa KSA,GK,Al-Hilal,29,1991,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,2021,f2c060c6
30,Mohammed Al-Owais,sa KSA,GK,Al-Ahli,29,1991,9,9,810,9.0,15,1.67,45,30,66.7,0,5,4,0,0.0,0,0,0,0,,2021,f2c060c6
31,Abdullah Al-Owaishir,sa KSA,GK,Al-Ettifaq,30,1991,3,3,270,3.0,4,1.33,11,7,63.6,0,2,1,1,33.3,0,0,0,0,,2021,6a1fe279
32,Fawaz Al-Qarni,sa KSA,GK,Al-Shabab,29,1992,27,27,2385,26.5,34,1.28,111,84,74.8,14,9,4,9,33.3,7,6,1,0,14.3,2021,5e08e9d2
33,Ahmed Al-Rehaili,sa KSA,GK,Al-Raed,26,1994,17,17,1530,17.0,21,1.24,55,37,67.3,7,3,7,6,35.3,4,3,0,1,0.0,2021,cd9753ac
34,Dawod Al Saeed,sa KSA,GK,Al-Hazem,30,1991,8,8,720,8.0,15,1.87,29,15,51.7,1,2,5,1,12.5,2,1,0,1,0.0,2021,5e4fe378
35,Hussain Shae'an,sa KSA,GK,Al-Shabab,32,1989,2,1,135,1.5,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,2021,4049ea16
36,Abdullah Al-Shammeri,sa KSA,GK,Abha,29,1991,7,6,532,5.9,10,1.69,24,15,62.5,2,0,4,1,16.7,1,1,0,0,0.0,2021,dcee5a82
37,Vladimir Stojković,rs SRB,GK,Al-Fayha,38,1983,29,29,2610,29.0,21,0.72,112,94,83.0,8,11,10,13,44.8,4,2,2,0,50.0,2021,c089980e
38,Mohammed Al Yami,sa KSA,GK,Al-Ahli,23,1997,18,18,1575,17.5,23,1.31,69,50,72.5,5,8,5,4,22.2,4,4,0,0,0.0,2021,0bb0f7c6
39,Ibrahim Zaied,sa KSA,GK,Al-Hazem,31,1990,14,14,1260,14.0,29,2.07,60,35,53.3,2,0,12,1,7.1,4,1,3,0,75.0,2021,087c8b82
40,Moustapha Zeghba,dz ALG,GK,Damac,30,1990,25,25,2250,25.0,38,1.52,132,102,74.2,10,7,8,8,32.0,8,4,4,0,50.0,2021,83054751
1,Waleed Abdullah,sa KSA,GK,Al-Nassr,34,1986,6,6,540,6.0,8,1.33,20,13,65.0,4,1,1,2,33.3,1,1,0,0,0.0,2020,aec6d2a5
2,Mohammed Ahmed Alhaeti,sa KSA,GK,Al-Ettifaq,,,12,12,1080,12.0,22,1.83,57,38,66.7,4,1,7,1,8.3,3,3,0,0,0.0,2020,cd36d655
3,Giedrius Arlauskis,lt LTU,GK,Al-Shabab,32,1987,8,8,720,8.0,8,1.00,25,18,76.0,4,3,1,1,12.5,2,2,0,0,0.0,2020,1858bbf7
4,Basil Al Bahrani,sa KSA,GK,Al-Fateh,25,1995,1,1,90,1.0,2,2.00,5,3,60.0,1,0,0,0,0.0,0,0,0,0,,2020,1b08d7ff
5,Zaid Al Bawardi,sa KSA,GK,Al-Shabab,23,1997,22,22,1980,22.0,33,1.50,107,77,72.0,13,3,6,5,22.7,4,3,1,0,25.0,2020,ae82309a
6,Ameen Bokhari,sa KSA,GK,Al-Ain,23,1997,21,21,1774,19.7,41,2.08,86,54,59.3,5,5,11,5,23.8,10,6,4,0,40.0,2020,32a9aac0
7,Martín Campaña,uy URU,GK,Al-Batin,31,1989,27,27,2428,27.0,48,1.78,145,106,72.4,9,9,9,3,11.1,10,8,1,1,11.1,2020,a0f2f044
8,Cássio,pt POR,GK,Al-Taawoun,39,1980,28,28,2520,28.0,28,1.00,112,91,81.3,13,7,8,11,39.3,9,7,1,1,12.5,2020,5d3888a5
9,Azzedine Doukha,dz ALG,GK,Al-Raed,33,1986,25,25,2250,25.0,35,1.40,90,56,63.3,7,6,12,7,28.0,3,2,0,1,0.0,2020,1b7f3530
10,Mazyad Freeh,sa KSA,GK,Al-Batin,31,1989,4,3,272,3.0,7,2.32,22,16,72.7,0,0,3,1,33.3,1,1,0,0,0.0,2020,71dc1d1b
11,Marcelo Grohe,br BRA,GK,Al-Ittihad,33,1987,29,29,2610,29.0,29,1.00,123,103,82.1,15,10,4,6,20.7,10,7,2,1,22.2,2020,69c26681
12,Abdullah Al Jadani,sa KSA,GK,Al-Hilal,28,1991,3,3,270,3.0,2,0.67,8,6,75.0,2,0,1,2,66.7,0,0,0,0,,2020,d0e20c59
13,Brad Jones,au AUS,GK,Al-Nassr,38,1982,24,24,2160,24.0,32,1.33,76,51,65.8,9,6,9,5,20.8,8,6,1,1,14.3,2020,ffc1c226
14,Ahmed Al-Kassar,sa KSA,GK,Al-Faisaly,29,1991,3,3,270,3.0,4,1.33,14,10,71.4,1,1,1,1,33.3,0,0,0,0,,2020,eedb42fd
